epoch, time     , train/box_loss, train/cls_loss, train/dfl_loss, metrics/precision(B), metrics/recall(B), metrics/mAP50(B), metrics/mAP50-95(B), val/box_loss, val/cls_loss, val/dfl_loss, lr/pg0     , lr/pg1     , lr/pg2
    1,   35.6767,        3.17268,        3.65248,        3.50849,              0.1004 ,           0.06434,          0.03108,             0.00892,      3.04121,      3.48811,      3.3196 , 0.000664452, 0.000664452, 0.000664452
    2,   68.7954,        2.44455,        2.49452,        2.57764,              0.37179,           0.37451,          0.29955,             0.0971 ,      2.34232,      2.12557,      2.45091, 0.00129817 , 0.00129817 , 0.00129817
    3,  101.653 ,        2.22981,        2.1285 ,        2.27339,              0.52312,           0.35588,          0.4344 ,             0.18465,      2.06715,      1.92989,      2.12145, 0.00189889 , 0.00189889 , 0.00189889
    4,  134.553 ,        2.10807,        1.96481,        2.10766,              0.64382,           0.36506,          0.4668 ,             0.20206,      2.0098 ,      1.97657,      2.00665, 0.0018515  , 0.0018515  , 0.0018515
    5,  167.775 ,        2.03557,        1.8565 ,        2.03023,              0.5801 ,           0.53824,          0.56333,             0.25245,      1.91703,      1.61224,      1.94268, 0.001802   , 0.001802   , 0.001802
    6,  200.633 ,        1.97599,        1.77323,        1.96629,              0.55855,           0.57806,          0.55061,             0.23154,      1.87493,      1.68852,      1.89321, 0.0017525  , 0.0017525  , 0.0017525
    7,  233.441 ,        1.93355,        1.69735,        1.90936,              0.65887,           0.59804,          0.65626,             0.31345,      1.80048,      1.51996,      1.80638, 0.001703   , 0.001703   , 0.001703
    8,  266.917 ,        1.90447,        1.64613,        1.87208,              0.75891,           0.61471,          0.70223,             0.34571,      1.77876,      1.35659,      1.75765, 0.0016535  , 0.0016535  , 0.0016535
    9,  299.816 ,        1.87449,        1.58731,        1.83639,              0.78447,           0.61471,          0.71426,             0.34219,      1.79676,      1.40298,      1.77913, 0.001604   , 0.001604   , 0.001604
   10,  332.573 ,        1.83338,        1.53275,        1.80657,              0.76368,           0.64118,          0.71485,             0.33932,      1.75416,      1.36999,      1.75427, 0.0015545  , 0.0015545  , 0.0015545
   11,  366.699 ,        1.83218,        1.50698,        1.80283,              0.76717,           0.65196,          0.72498,             0.36075,      1.7731 ,      1.29429,      1.7644 , 0.001505   , 0.001505   , 0.001505
   12,  399.313 ,        1.79891,        1.47572,        1.77063,              0.75778,           0.68398,          0.74216,             0.3855 ,      1.67268,      1.26258,      1.67437, 0.0014555  , 0.0014555  , 0.0014555
   13,  432.797 ,        1.78148,        1.43899,        1.7519 ,              0.7832 ,           0.67059,          0.74895,             0.38766,      1.70663,      1.18852,      1.6878 , 0.001406   , 0.001406   , 0.001406
   14,  465.414 ,        1.75819,        1.40921,        1.73128,              0.82648,           0.69412,          0.79158,             0.41287,      1.60219,      1.16163,      1.60885, 0.0013565  , 0.0013565  , 0.0013565
   15,  498.307 ,        1.75842,        1.38016,        1.7238 ,              0.80783,           0.68828,          0.78241,             0.41211,      1.63339,      1.18045,      1.61022, 0.001307   , 0.001307   , 0.001307
   16,  532.407 ,        1.73808,        1.37052,        1.71334,              0.83905,           0.69509,          0.80588,             0.4262 ,      1.61831,      1.09516,      1.63014, 0.0012575  , 0.0012575  , 0.0012575
   17,  565.024 ,        1.7156 ,        1.33336,        1.69159,              0.8209 ,           0.71   ,          0.79698,             0.4232 ,      1.59485,      1.0916 ,      1.60552, 0.001208   , 0.001208   , 0.001208
   18,  598.22  ,        1.70046,        1.30972,        1.67302,              0.82407,           0.72255,          0.80702,             0.41972,      1.58934,      1.0693 ,      1.59597, 0.0011585  , 0.0011585  , 0.0011585
   19,  630.847 ,        1.67806,        1.27187,        1.65228,              0.8208 ,           0.68824,          0.80007,             0.43054,      1.57955,      1.10115,      1.58719, 0.001109   , 0.001109   , 0.001109
   20,  663.585 ,        1.66158,        1.25124,        1.64368,              0.84699,           0.71634,          0.81936,             0.44115,      1.57311,      1.05247,      1.56404, 0.0010595  , 0.0010595  , 0.0010595
   21,  696.786 ,        1.66278,        1.2542 ,        1.63889,              0.80309,           0.70686,          0.80819,             0.44394,      1.56451,      1.07175,      1.56091, 0.00101    , 0.00101    , 0.00101
   22,  729.972 ,        1.66184,        1.24034,        1.63654,              0.83632,           0.72647,          0.82219,             0.4489 ,      1.54557,      1.04471,      1.55919, 0.0009605  , 0.0009605  , 0.0009605
   23,  763.394 ,        1.64911,        1.22816,        1.63026,              0.86534,           0.72453,          0.82849,             0.4619 ,      1.51441,      0.98973,      1.53087, 0.000911   , 0.000911   , 0.000911
   24,  795.994 ,        1.638  ,        1.21289,        1.61528,              0.83441,           0.73235,          0.82228,             0.45325,      1.54183,      1.01097,      1.54727, 0.0008615  , 0.0008615  , 0.0008615
   25,  829.013 ,        1.61057,        1.18324,        1.60131,              0.83765,           0.75882,          0.83891,             0.45573,      1.54282,      0.9864 ,      1.53702, 0.000812   , 0.000812   , 0.000812
   26,  861.837 ,        1.59838,        1.1584 ,        1.59423,              0.87737,           0.75784,          0.85307,             0.46767,      1.53416,      0.96177,      1.52369, 0.0007625  , 0.0007625  , 0.0007625
   27,  894.485 ,        1.58343,        1.15351,        1.57975,              0.84216,           0.76372,          0.84857,             0.47254,      1.52704,      0.97172,      1.52733, 0.000713   , 0.000713   , 0.000713
   28,  927.286 ,        1.58453,        1.14174,        1.57802,              0.84935,           0.75722,          0.84382,             0.46734,      1.50556,      0.96701,      1.50801, 0.0006635  , 0.0006635  , 0.0006635
   29,  960.012 ,        1.57627,        1.12982,        1.57557,              0.85368,           0.74933,          0.84093,             0.47778,      1.45886,      0.95852,      1.48539, 0.000614   , 0.000614   , 0.000614
   30,  992.72  ,        1.56999,        1.12946,        1.57088,              0.8413 ,           0.76401,          0.85456,             0.48593,      1.47952,      0.93539,      1.49324, 0.0005645  , 0.0005645  , 0.0005645
   31, 1026.43  ,        1.56207,        1.04389,        1.60507,              0.84865,           0.74608,          0.85424,             0.48596,      1.45454,      0.9303 ,      1.49493, 0.000515   , 0.000515   , 0.000515
   32, 1060.02  ,        1.51692,        1.00106,        1.56768,              0.87528,           0.77059,          0.87208,             0.50576,      1.44379,      0.87564,      1.48053, 0.0004655  , 0.0004655  , 0.0004655
   33, 1092.65  ,        1.50916,        0.97854,        1.5547 ,              0.89056,           0.75392,          0.86564,             0.50183,      1.43429,      0.88092,      1.45764, 0.000416   , 0.000416   , 0.000416
   34, 1125.68  ,        1.4867 ,        0.95954,        1.53988,              0.85625,           0.77666,          0.86996,             0.50546,      1.42529,      0.8696 ,      1.46233, 0.0003665  , 0.0003665  , 0.0003665
   35, 1158.99  ,        1.47142,        0.94383,        1.5251 ,              0.85801,           0.78627,          0.88058,             0.50359,      1.43385,      0.8669 ,      1.45078, 0.000317   , 0.000317   , 0.000317
   36, 1191.88  ,        1.45332,        0.93531,        1.51931,              0.85171,           0.80392,          0.87909,             0.50366,      1.45013,      0.87416,      1.46974, 0.0002675  , 0.0002675  , 0.0002675
   37, 1224.7   ,        1.44903,        0.91568,        1.51177,              0.8542 ,           0.7951 ,          0.88075,             0.51772,      1.4185 ,      0.84954,      1.44395, 0.000218   , 0.000218   , 0.000218
   38, 1257.52  ,        1.4346 ,        0.89775,        1.50371,              0.87853,           0.79608,          0.88471,             0.51939,      1.40663,      0.84005,      1.43603, 0.0001685  , 0.0001685  , 0.0001685
   39, 1290.07  ,        1.42602,        0.89478,        1.4953 ,              0.86699,           0.8    ,          0.88953,             0.52376,      1.38946,      0.82027,      1.4292 , 0.000119   , 0.000119   , 0.000119
   40, 1322.69  ,        1.41185,        0.88082,        1.48848,              0.87488,           0.80208,          0.88909,             0.52025,      1.39867,      0.8275 ,      1.43308, 6.95e-05   , 6.95e-05   , 6.95e-05
